Time[s],Mobile_base_x,Mobile_base_y,End_effector_x,End_effector_y
0.0,0.0,0.0,1.056940068281219,-0.02442386123345071
0.016666666666666666,0.007423264121139368,-0.000191839951376847,1.0639018594947545,0.0006572285303335585
0.03333333333333333,0.013963776442292974,-0.00023223802847284502,1.0707636964489522,0.025327947817431265
0.05,0.021085700567735066,-0.00013941616316614163,1.0775265704498516,0.04959461661968786
0.06666666666666667,0.028744720916922258,0.0001041967520551286,1.0841914980171123,0.07346349339367879
0.08333333333333333,0.03689792036877679,0.0005132006343853558,1.0907595165397368,0.09694077403928454
0.1,0.045503891306910633,0.0010994699823601312,1.0972316803538642,0.12003259071796077
0.11666666666666667,0.05452282080904801,0.0018723915343300391,1.1036090572238346,0.14274501057555836
0.13333333333333333,0.06391655268940091,0.0028390923756464884,1.1098927252037614,0.16508403442389663
0.15,0.07364862898827915,0.004004657417735485,1.1160837698542672,0.18705559542569392
0.16666666666666666,0.08368431336570319,0.00537233548740116,1.1221832817876078,0.20866555781890614
0.18333333333333332,0.0939905987024607,0.0069437335364490125,1.1281923545138413,0.2299197157089896
0.2,0.10453620104896562,0.008718998713187955,1.1341120825608637,0.25082379195102567
0.21666666666666667,0.11529154189444149,0.010696988231955928,1.1399435598418202,0.27138343713797375
0.23333333333333334,0.1262287205604093,0.012875427138019854,1.145687878244495,0.29160422870646935
0.25,0.13732147835642713,0.015251054196523986,1.1513461264186455,0.3114916701674893
0.26666666666666666,0.1485451559749928,0.017819756239004673,1.1569193887388112,0.3310511904657878
0.2833333333333333,0.1598766454483415,0.020576691382601497,1.1624087444217872,0.35028814346918974
0.3,0.17129433784388648,0.023516401598522224,1.1678152667796713,0.36920780758654226
0.31666666666666665,0.1827780677381516,0.026632915150383036,1.1731400225910937,0.38781538551130423
0.3333333333333333,0.19430905538176232,0.029919839452325524,1.178384071574929,0.4061160040863304
0.35,0.20586984735063357,0.03337044491364166,1.1835484659523865,0.42411471428433656
